    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
    1	995.90	0.0000	0.9980	0.9989	1.0000	0.0009	1.0000
    2	983.90	0.0000	0.9969	0.9988	1.0000	0.0018	1.0000
    3	962.70	0.0000	0.9959	0.9987	1.0000	0.0028	1.0000
    4	935.90	0.0000	0.9949	0.9985	1.0000	0.0036	1.0000
    5	908.90	0.0000	0.9940	0.9984	1.0000	0.0045	1.0000
    6	875.60	0.0000	0.9930	0.9983	1.0000	0.0053	1.0000
    7	845.10	0.0000	0.9920	0.9982	1.0000	0.0062	1.0000
    8	811.50	0.0000	0.9910	0.9981	1.0000	0.0071	1.0000
    9	779.40	0.0000	0.9900	0.9980	1.0000	0.0080	1.0000
   10	753.80	0.0000	0.9891	0.9979	1.0000	0.0088	1.0000
   11	722.90	0.0000	0.9882	0.9978	1.0000	0.0096	1.0000
   12	700.00	0.0000	0.9874	0.9977	1.0000	0.0103	1.0000
   13	672.90	0.0000	0.9865	0.9976	1.0000	0.0112	1.0000
   14	648.60	0.0000	0.9855	0.9975	1.0000	0.0120	1.0000
   15	629.40	0.0000	0.9846	0.9974	1.0000	0.0129	1.0000
   16	611.80	0.0000	0.9834	0.9973	1.0000	0.0139	1.0000
   17	592.00	0.0000	0.9826	0.9972	1.0000	0.0146	1.0000
   18	578.10	0.0000	0.9815	0.9971	1.0000	0.0157	1.0000
   19	565.80	0.0000	0.9806	0.9970	1.0000	0.0164	1.0000
   20	548.90	0.0000	0.9794	0.9968	1.0000	0.0175	1.0000
   21	531.90	0.0000	0.9789	0.9968	1.0000	0.0180	1.0000
   22	520.60	0.0000	0.9781	0.9967	1.0000	0.0187	1.0000
   23	510.10	0.0000	0.9776	0.9966	1.0000	0.0191	1.0000
   24	501.20	0.0000	0.9763	0.9965	1.0000	0.0202	1.0000
   25	486.90	0.0000	0.9753	0.9964	1.0000	0.0212	1.0000
   26	475.20	0.0000	0.9735	0.9962	1.0000	0.0228	1.0000
   27	459.50	0.0000	0.9720	0.9960	1.0000	0.0241	1.0000
   28	451.70	0.0000	0.9711	0.9959	1.0000	0.0249	1.0000
   29	440.40	0.0000	0.9699	0.9958	1.0000	0.0259	1.0000
   30	430.90	0.0000	0.9686	0.9956	1.0000	0.0271	1.0000
   31	419.30	0.0000	0.9673	0.9955	1.0000	0.0283	1.0000
   32	405.00	0.0000	0.9663	0.9953	1.0000	0.0292	1.0000
   33	400.50	0.0000	0.9648	0.9952	1.0000	0.0305	1.0000
   34	391.90	0.0000	0.9643	0.9951	1.0000	0.0310	1.0000
   35	384.40	0.0000	0.9629	0.9950	1.0000	0.0322	1.0000
   36	376.50	0.0000	0.9629	0.9950	1.0000	0.0322	1.0000
   37	368.40	0.0000	0.9625	0.9949	1.0000	0.0326	1.0000
   38	363.20	0.0000	0.9623	0.9949	1.0000	0.0327	1.0000
   39	355.60	0.0000	0.9619	0.9948	1.0000	0.0331	1.0000
   40	350.40	0.0000	0.9605	0.9947	1.0000	0.0343	1.0000
