    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
    1	995.80	0.0000	0.9985	0.9989	1.0000	0.0004	1.0000
    2	985.70	0.0000	0.9982	0.9988	1.0000	0.0006	1.0000
    3	967.90	0.0000	0.9979	0.9987	1.0000	0.0008	1.0000
    4	942.20	0.0000	0.9977	0.9986	1.0000	0.0008	1.0000
    5	911.80	0.0000	0.9975	0.9985	1.0000	0.0009	1.0000
    6	882.90	0.0000	0.9974	0.9984	1.0000	0.0010	1.0000
    7	853.70	0.0000	0.9973	0.9983	1.0000	0.0010	1.0000
    8	821.60	0.0000	0.9972	0.9981	1.0000	0.0010	1.0000
    9	791.30	0.0000	0.9970	0.9981	1.0000	0.0011	1.0000
   10	768.60	0.0000	0.9969	0.9980	1.0000	0.0010	1.0000
   11	742.40	0.0000	0.9969	0.9979	1.0000	0.0010	1.0000
   12	718.20	0.0000	0.9968	0.9978	1.0000	0.0010	1.0000
   13	691.90	0.0000	0.9966	0.9976	1.0000	0.0011	1.0000
   14	668.20	0.0000	0.9965	0.9975	1.0000	0.0010	1.0000
   15	652.70	0.0000	0.9962	0.9974	1.0000	0.0012	1.0000
   16	634.70	0.0000	0.9962	0.9973	1.0000	0.0011	1.0000
   17	613.30	0.0000	0.9961	0.9972	1.0000	0.0011	1.0000
   18	599.00	0.0000	0.9961	0.9971	1.0000	0.0010	1.0000
   19	579.40	0.0000	0.9960	0.9970	1.0000	0.0010	1.0000
   20	559.60	0.0000	0.9958	0.9968	1.0000	0.0010	1.0000
   21	544.50	0.0000	0.9957	0.9967	1.0000	0.0009	1.0000
   22	525.20	0.0000	0.9955	0.9965	1.0000	0.0010	1.0000
   23	511.50	0.0000	0.9955	0.9965	1.0000	0.0010	1.0000
   24	498.40	0.0000	0.9954	0.9964	1.0000	0.0010	1.0000
   25	488.70	0.0000	0.9953	0.9964	1.0000	0.0011	1.0000
   26	478.70	0.0000	0.9952	0.9962	1.0000	0.0010	1.0000
   27	466.30	0.0000	0.9950	0.9961	1.0000	0.0011	1.0000
   28	453.00	0.0000	0.9950	0.9960	1.0000	0.0010	1.0000
   29	438.90	0.0000	0.9950	0.9960	1.0000	0.0010	1.0000
   30	427.50	0.0000	0.9947	0.9958	1.0000	0.0011	1.0000
   31	422.00	0.0000	0.9947	0.9957	1.0000	0.0010	1.0000
   32	408.10	0.0000	0.9946	0.9956	1.0000	0.0010	1.0000
   33	398.80	0.0000	0.9946	0.9956	1.0000	0.0010	1.0000
   34	392.20	0.0000	0.9945	0.9956	1.0000	0.0011	1.0000
   35	386.80	0.0000	0.9944	0.9954	1.0000	0.0010	1.0000
   36	379.60	0.0000	0.9943	0.9954	1.0000	0.0011	1.0000
   37	374.10	0.0000	0.9941	0.9953	1.0000	0.0011	1.0000
   38	368.60	0.0000	0.9941	0.9952	1.0000	0.0011	1.0000
   39	364.40	0.0000	0.9942	0.9952	1.0000	0.0011	1.0000
   40	358.50	0.0000	0.9940	0.9952	1.0000	0.0011	1.0000
   41	353.30	0.0000	0.9940	0.9950	1.0000	0.0011	1.0000
   42	346.20	0.0000	0.9939	0.9950	1.0000	0.0011	1.0000
   43	338.90	0.0000	0.9937	0.9948	1.0000	0.0011	1.0000
   44	334.00	0.0000	0.9936	0.9946	1.0000	0.0010	1.0000
   45	327.00	0.0000	0.9934	0.9944	1.0000	0.0011	1.0000
   46	320.40	0.0000	0.9933	0.9944	1.0000	0.0010	1.0000
   47	315.00	0.0000	0.9932	0.9942	1.0000	0.0010	1.0000
   48	312.70	0.0000	0.9933	0.9942	1.0000	0.0009	1.0000
   49	308.20	0.0000	0.9931	0.9942	1.0000	0.0010	1.0000
   50	303.00	0.0000	0.9930	0.9940	1.0000	0.0010	1.0000
   51	296.00	0.0000	0.9929	0.9939	1.0000	0.0010	1.0000
   52	289.80	0.0000	0.9926	0.9936	1.0000	0.0010	1.0000
   53	281.90	0.0000	0.9925	0.9936	1.0000	0.0010	1.0000
   54	279.90	0.0000	0.9925	0.9935	1.0000	0.0010	1.0000
   55	276.90	0.0000	0.9925	0.9934	1.0000	0.0009	1.0000
   56	275.50	0.0000	0.9924	0.9933	1.0000	0.0009	1.0000
   57	271.10	0.0000	0.9922	0.9931	1.0000	0.0009	1.0000
   58	266.50	0.0000	0.9922	0.9931	1.0000	0.0009	1.0000
   59	263.90	0.0000	0.9921	0.9930	1.0000	0.0008	1.0000
   60	261.70	0.0000	0.9919	0.9929	1.0000	0.0010	1.0000
   61	258.40	0.0000	0.9918	0.9927	1.0000	0.0010	1.0000
   62	253.70	0.0000	0.9916	0.9926	1.0000	0.0009	1.0000
   63	251.30	0.0000	0.9913	0.9923	1.0000	0.0011	1.0000
   64	245.70	0.0000	0.9911	0.9923	1.0000	0.0011	1.0000
   65	242.50	0.0000	0.9910	0.9921	1.0000	0.0011	1.0000
   66	240.10	0.0000	0.9912	0.9921	1.0000	0.0010	1.0000
   67	237.40	0.0000	0.9911	0.9920	1.0000	0.0009	1.0000
   68	233.10	0.0000	0.9907	0.9918	1.0000	0.0011	1.0000
   69	231.00	0.0000	0.9904	0.9914	1.0000	0.0010	1.0000
   70	228.50	0.0000	0.9902	0.9913	1.0000	0.0011	1.0000
   71	226.10	0.0000	0.9901	0.9914	1.0000	0.0013	1.0000
   72	222.30	0.0000	0.9901	0.9913	1.0000	0.0012	1.0000
   73	217.80	0.0000	0.9898	0.9910	1.0000	0.0012	1.0000
   74	214.70	0.0000	0.9898	0.9911	1.0000	0.0013	1.0000
   75	213.10	0.0000	0.9898	0.9910	1.0000	0.0013	1.0000
   76	211.80	0.0000	0.9898	0.9909	1.0000	0.0011	1.0000
   77	209.40	0.0000	0.9895	0.9907	1.0000	0.0012	1.0000
   78	208.90	0.0000	0.9893	0.9906	1.0000	0.0012	1.0000
   79	207.70	0.0000	0.9896	0.9906	1.0000	0.0011	1.0000
   80	205.30	0.0000	0.9895	0.9906	1.0000	0.0011	1.0000
   81	203.80	0.0000	0.9895	0.9906	1.0000	0.0011	1.0000
   82	201.30	0.0000	0.9893	0.9904	1.0000	0.0012	1.0000
   83	198.50	0.0000	0.9891	0.9904	1.0000	0.0012	1.0000
   84	192.50	0.0000	0.9890	0.9902	1.0000	0.0013	1.0000
   85	190.40	0.0000	0.9889	0.9900	1.0000	0.0011	1.0000
   86	186.30	0.0000	0.9884	0.9897	1.0000	0.0014	1.0000
   87	184.10	0.0000	0.9885	0.9895	1.0000	0.0011	1.0000
   88	183.20	0.0000	0.9884	0.9894	1.0000	0.0010	1.0000
   89	181.80	0.0000	0.9882	0.9892	1.0000	0.0011	1.0000
   90	181.90	0.0000	0.9880	0.9892	1.0000	0.0012	1.0000
   91	181.80	0.0000	0.9881	0.9891	1.0000	0.0010	1.0000
   92	178.10	0.0000	0.9876	0.9889	1.0000	0.0013	1.0000
   93	177.70	0.0000	0.9875	0.9888	1.0000	0.0013	1.0000
   94	175.50	0.0000	0.9874	0.9884	1.0000	0.0010	1.0000
   95	173.10	0.0000	0.9874	0.9884	1.0000	0.0010	1.0000
   96	171.70	0.0000	0.9874	0.9882	1.0000	0.0009	1.0000
   97	169.90	0.0000	0.9871	0.9881	1.0000	0.0010	1.0000
   98	169.80	0.0000	0.9868	0.9879	1.0000	0.0011	1.0000
   99	167.70	0.0000	0.9868	0.9878	1.0000	0.0011	1.0000
  100	166.00	0.0000	0.9866	0.9876	1.0000	0.0010	1.0000
  101	165.50	0.0000	0.9860	0.9872	1.0000	0.0012	1.0000
  102	165.90	0.0000	0.9863	0.9873	1.0000	0.0010	1.0000
  103	165.10	0.0000	0.9859	0.9872	1.0000	0.0013	1.0000
  104	163.70	0.0000	0.9860	0.9872	1.0000	0.0012	1.0000
  105	164.20	0.0000	0.9859	0.9872	1.0000	0.0013	1.0000
  106	161.90	0.0000	0.9857	0.9868	1.0000	0.0012	1.0000
  107	158.40	0.0000	0.9856	0.9868	1.0000	0.0012	1.0000
  108	158.30	0.0000	0.9855	0.9867	1.0000	0.0012	1.0000
  109	157.30	0.0000	0.9853	0.9865	1.0000	0.0012	1.0000
  110	153.70	0.0000	0.9853	0.9864	1.0000	0.0011	1.0000
  111	150.80	0.0000	0.9851	0.9863	1.0000	0.0012	1.0000
  112	150.80	0.0000	0.9851	0.9862	1.0000	0.0012	1.0000
  113	150.20	0.0000	0.9848	0.9860	1.0000	0.0012	1.0000
  114	148.30	0.0000	0.9849	0.9859	1.0000	0.0010	1.0000
  115	148.50	0.0000	0.9846	0.9857	1.0000	0.0012	1.0000
  116	146.30	0.0000	0.9845	0.9857	1.0000	0.0011	1.0000
  117	146.80	0.0000	0.9843	0.9855	1.0000	0.0013	1.0000
  118	144.60	0.0000	0.9847	0.9858	1.0000	0.0011	1.0000
  119	142.00	0.0000	0.9844	0.9858	1.0000	0.0014	1.0000
  120	137.90	0.0000	0.9844	0.9858	1.0000	0.0014	1.0000
  121	137.00	0.0000	0.9839	0.9853	1.0000	0.0015	1.0000
  122	136.50	0.0000	0.9837	0.9851	1.0000	0.0014	1.0000
  123	135.60	0.0000	0.9835	0.9847	1.0000	0.0012	1.0000
  124	135.90	0.0000	0.9837	0.9848	1.0000	0.0012	1.0000
  125	134.90	0.0000	0.9831	0.9845	1.0000	0.0014	1.0000
  126	133.60	0.0000	0.9832	0.9844	1.0000	0.0012	1.0000
  127	131.80	0.0000	0.9833	0.9846	1.0000	0.0013	1.0000
  128	130.00	0.0000	0.9828	0.9839	1.0000	0.0011	1.0000
  129	128.30	0.0000	0.9830	0.9841	1.0000	0.0011	1.0000
  130	127.20	0.0000	0.9828	0.9839	1.0000	0.0011	1.0000
  131	127.20	0.0000	0.9828	0.9838	1.0000	0.0010	1.0000
