    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
    1	359.80	0.0000	0.0946	0.0946	1.0000	-0.0000	1.0000
    2	509.50	0.0000	0.1799	0.1799	1.0000	0.0003	1.0000
    3	593.00	0.0000	0.2578	0.2580	1.0000	0.0007	1.0000
    4	646.00	0.0000	0.3309	0.3313	1.0000	0.0010	1.0000
    5	691.80	0.0000	0.3966	0.3972	1.0000	0.0015	1.0000
    6	721.80	0.0000	0.4544	0.4551	1.0000	0.0016	1.0000
    7	751.20	0.0000	0.5069	0.5079	1.0000	0.0018	1.0000
    8	770.30	0.0000	0.5549	0.5560	1.0000	0.0020	1.0000
    9	772.20	0.0000	0.5953	0.5967	1.0000	0.0024	1.0000
   10	790.20	0.0000	0.6352	0.6367	1.0000	0.0024	1.0000
   11	802.20	0.0000	0.6677	0.6693	1.0000	0.0023	1.0000
   12	809.60	0.0000	0.6996	0.7014	1.0000	0.0026	1.0000
   13	821.10	0.0000	0.7265	0.7287	1.0000	0.0030	1.0000
   14	826.80	0.0000	0.7524	0.7548	1.0000	0.0032	1.0000
   15	832.10	0.0000	0.7749	0.7775	1.0000	0.0033	1.0000
   16	843.60	0.0000	0.7953	0.7981	1.0000	0.0035	1.0000
   17	846.90	0.0000	0.8147	0.8177	1.0000	0.0036	1.0000
   18	852.70	0.0000	0.8348	0.8377	1.0000	0.0035	1.0000
   19	857.10	0.0000	0.8495	0.8524	1.0000	0.0034	1.0000
   20	856.20	0.0000	0.8612	0.8642	1.0000	0.0035	1.0000
   21	863.30	0.0000	0.8739	0.8772	1.0000	0.0038	1.0000
   22	863.10	0.0000	0.8849	0.8883	1.0000	0.0038	1.0000
   23	860.50	0.0000	0.8942	0.8977	1.0000	0.0039	1.0000
   24	867.50	0.0000	0.9026	0.9061	1.0000	0.0038	1.0000
   25	871.70	0.0000	0.9114	0.9150	1.0000	0.0039	1.0000
   26	875.90	0.0000	0.9192	0.9230	1.0000	0.0041	1.0000
   27	873.40	0.0000	0.9271	0.9310	1.0000	0.0042	1.0000
   28	875.60	0.0000	0.9363	0.9404	1.0000	0.0044	1.0000
   29	880.40	0.0000	0.9417	0.9459	1.0000	0.0045	1.0000
   30	881.90	0.0000	0.9460	0.9503	1.0000	0.0045	1.0000
   31	874.10	0.0000	0.9505	0.9549	1.0000	0.0046	1.0000
   32	875.60	0.0000	0.9538	0.9580	1.0000	0.0044	1.0000
   33	879.70	0.0000	0.9574	0.9618	1.0000	0.0045	1.0000
   34	883.70	0.0000	0.9616	0.9660	1.0000	0.0046	1.0000
   35	882.70	0.0000	0.9649	0.9693	1.0000	0.0045	1.0000
   36	887.30	0.0000	0.9673	0.9717	1.0000	0.0045	1.0000
   37	887.00	0.0000	0.9704	0.9748	1.0000	0.0045	1.0000
   38	884.70	0.0000	0.9723	0.9768	1.0000	0.0046	1.0000
   39	890.90	0.0000	0.9744	0.9789	1.0000	0.0047	1.0000
   40	890.40	0.0000	0.9765	0.9811	1.0000	0.0046	1.0000
   41	885.50	0.0000	0.9781	0.9827	1.0000	0.0047	1.0000
   42	889.00	0.0000	0.9795	0.9841	1.0000	0.0047	1.0000
   43	884.90	0.0000	0.9810	0.9858	1.0000	0.0049	1.0000
   44	886.00	0.0000	0.9823	0.9870	1.0000	0.0048	1.0000
   45	894.60	0.0000	0.9834	0.9882	1.0000	0.0049	1.0000
   46	896.00	0.0000	0.9847	0.9895	1.0000	0.0048	1.0000
   47	894.80	0.0000	0.9852	0.9900	1.0000	0.0049	1.0000
   48	892.30	0.0000	0.9857	0.9906	1.0000	0.0049	1.0000
   49	889.70	0.0000	0.9863	0.9911	1.0000	0.0048	1.0000
   50	893.20	0.0000	0.9870	0.9917	1.0000	0.0048	1.0000
   51	891.80	0.0000	0.9875	0.9923	1.0000	0.0048	1.0000
   52	894.60	0.0000	0.9881	0.9929	1.0000	0.0048	1.0000
   53	898.00	0.0000	0.9887	0.9935	1.0000	0.0048	1.0000
   54	897.10	0.0000	0.9894	0.9941	1.0000	0.0047	1.0000
   55	897.50	0.0000	0.9897	0.9944	1.0000	0.0047	1.0000
   56	895.40	0.0000	0.9899	0.9947	1.0000	0.0048	1.0000
   57	893.60	0.0000	0.9900	0.9949	1.0000	0.0049	1.0000
   58	892.90	0.0000	0.9904	0.9952	1.0000	0.0048	1.0000
   59	898.30	0.0000	0.9908	0.9955	1.0000	0.0048	1.0000
   60	896.80	0.0000	0.9910	0.9957	1.0000	0.0047	1.0000
   61	897.40	0.0000	0.9911	0.9959	1.0000	0.0048	1.0000
   62	902.00	0.0000	0.9913	0.9960	1.0000	0.0048	1.0000
   63	900.90	0.0000	0.9915	0.9962	1.0000	0.0047	1.0000
   64	897.70	0.0000	0.9917	0.9964	1.0000	0.0047	1.0000
   65	897.00	0.0000	0.9918	0.9965	1.0000	0.0048	1.0000
   66	895.80	0.0000	0.9920	0.9967	1.0000	0.0047	1.0000
   67	896.60	0.0000	0.9921	0.9968	1.0000	0.0047	1.0000
   68	894.90	0.0000	0.9922	0.9969	1.0000	0.0047	1.0000
   69	897.50	0.0000	0.9923	0.9970	1.0000	0.0047	1.0000
   70	900.30	0.0000	0.9925	0.9971	1.0000	0.0047	1.0000
   71	896.30	0.0000	0.9925	0.9972	1.0000	0.0047	1.0000
   72	895.10	0.0000	0.9925	0.9972	1.0000	0.0047	1.0000
   73	896.00	0.0000	0.9926	0.9973	1.0000	0.0048	1.0000
   74	897.60	0.0000	0.9926	0.9973	1.0000	0.0048	1.0000
   75	900.60	0.0000	0.9927	0.9974	1.0000	0.0048	1.0000
   76	898.30	0.0000	0.9927	0.9975	1.0000	0.0048	1.0000
   77	898.60	0.0000	0.9926	0.9975	1.0000	0.0049	1.0000
   78	897.30	0.0000	0.9926	0.9975	1.0000	0.0049	1.0000
   79	899.60	0.0000	0.9927	0.9976	1.0000	0.0048	1.0000
   80	898.30	0.0000	0.9927	0.9976	1.0000	0.0049	1.0000
   81	896.50	0.0000	0.9927	0.9976	1.0000	0.0049	1.0000
   82	898.40	0.0000	0.9928	0.9977	1.0000	0.0049	1.0000
   83	894.70	0.0000	0.9929	0.9977	1.0000	0.0048	1.0000
   84	898.10	0.0000	0.9930	0.9977	1.0000	0.0047	1.0000
   85	903.00	0.0000	0.9930	0.9977	1.0000	0.0048	1.0000
   86	901.30	0.0000	0.9930	0.9977	1.0000	0.0048	1.0000
   87	908.50	0.0000	0.9930	0.9978	1.0000	0.0048	1.0000
   88	902.10	0.0000	0.9931	0.9978	1.0000	0.0048	1.0000
   89	902.60	0.0000	0.9931	0.9978	1.0000	0.0048	1.0000
   90	902.00	0.0000	0.9931	0.9978	1.0000	0.0047	1.0000
   91	899.80	0.0000	0.9931	0.9978	1.0000	0.0047	1.0000
   92	902.60	0.0000	0.9931	0.9978	1.0000	0.0048	1.0000
   93	902.10	0.0000	0.9931	0.9979	1.0000	0.0048	1.0000
   94	902.70	0.0000	0.9931	0.9979	1.0000	0.0048	1.0000
   95	902.60	0.0000	0.9930	0.9979	1.0000	0.0049	1.0000
   96	901.30	0.0000	0.9930	0.9979	1.0000	0.0049	1.0000
   97	899.30	0.0000	0.9931	0.9979	1.0000	0.0049	1.0000
   98	894.20	0.0000	0.9931	0.9979	1.0000	0.0048	1.0000
   99	898.90	0.0000	0.9931	0.9979	1.0000	0.0048	1.0000
  100	898.80	0.0000	0.9930	0.9979	1.0000	0.0049	1.0000
  101	898.60	0.0000	0.9931	0.9979	1.0000	0.0049	1.0000
  102	899.10	0.0000	0.9931	0.9979	1.0000	0.0049	1.0000
  103	900.20	0.0000	0.9931	0.9979	1.0000	0.0049	1.0000
  104	900.90	0.0000	0.9931	0.9980	1.0000	0.0049	1.0000
  105	901.10	0.0000	0.9932	0.9980	1.0000	0.0048	1.0000
  106	903.70	0.0000	0.9932	0.9980	1.0000	0.0048	1.0000
  107	903.40	0.0000	0.9933	0.9980	1.0000	0.0047	1.0000
  108	907.80	0.0000	0.9933	0.9980	1.0000	0.0047	1.0000
  109	903.80	0.0000	0.9933	0.9980	1.0000	0.0047	1.0000
