    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
    1	955.50	0.0000	0.9980	0.9988	1.0000	0.0008	1.0000
    2	901.90	0.0000	0.9970	0.9986	1.0000	0.0016	1.0000
    3	846.50	0.0000	0.9961	0.9984	1.0000	0.0023	1.0000
    4	786.00	0.0000	0.9950	0.9982	1.0000	0.0032	1.0000
    5	732.50	0.0000	0.9939	0.9980	1.0000	0.0041	1.0000
    6	683.70	0.0000	0.9927	0.9978	1.0000	0.0051	1.0000
    7	646.70	0.0000	0.9918	0.9976	1.0000	0.0058	1.0000
    8	601.10	0.0000	0.9910	0.9974	1.0000	0.0065	1.0000
    9	574.10	0.0000	0.9897	0.9972	1.0000	0.0075	1.0000
   10	544.30	0.0000	0.9889	0.9970	1.0000	0.0081	1.0000
   11	516.30	0.0000	0.9879	0.9968	1.0000	0.0089	1.0000
   12	488.70	0.0000	0.9871	0.9966	1.0000	0.0096	1.0000
   13	465.30	0.0000	0.9857	0.9964	1.0000	0.0107	1.0000
   14	448.20	0.0000	0.9846	0.9962	1.0000	0.0116	1.0000
   15	427.70	0.0000	0.9840	0.9961	1.0000	0.0121	1.0000
   16	411.00	0.0000	0.9830	0.9959	1.0000	0.0129	1.0000
   17	392.50	0.0000	0.9823	0.9958	1.0000	0.0135	1.0000
   18	376.10	0.0000	0.9810	0.9955	1.0000	0.0145	1.0000
   19	361.90	0.0000	0.9795	0.9952	1.0000	0.0157	1.0000
   20	351.40	0.0000	0.9784	0.9950	1.0000	0.0167	1.0000
   21	338.30	0.0000	0.9783	0.9949	1.0000	0.0167	1.0000
   22	331.10	0.0000	0.9771	0.9947	1.0000	0.0177	1.0000
   23	319.60	0.0000	0.9768	0.9946	1.0000	0.0179	1.0000
   24	310.80	0.0000	0.9760	0.9945	1.0000	0.0186	1.0000
   25	302.30	0.0000	0.9746	0.9942	1.0000	0.0197	1.0000
   26	292.80	0.0000	0.9732	0.9939	1.0000	0.0208	1.0000
   27	288.40	0.0000	0.9731	0.9939	1.0000	0.0209	1.0000
   28	281.10	0.0000	0.9725	0.9938	1.0000	0.0214	1.0000
   29	269.60	0.0000	0.9714	0.9936	1.0000	0.0223	1.0000
   30	265.00	0.0000	0.9701	0.9933	1.0000	0.0233	1.0000
   31	258.00	0.0000	0.9688	0.9930	1.0000	0.0244	1.0000
   32	252.00	0.0000	0.9675	0.9928	1.0000	0.0254	1.0000
   33	244.40	0.0000	0.9663	0.9925	1.0000	0.0264	1.0000
   34	239.60	0.0000	0.9651	0.9923	1.0000	0.0274	1.0000
   35	231.90	0.0000	0.9633	0.9919	1.0000	0.0289	1.0000
   36	225.40	0.0000	0.9621	0.9917	1.0000	0.0299	1.0000
   37	217.30	0.0000	0.9611	0.9915	1.0000	0.0307	1.0000
   38	212.30	0.0000	0.9604	0.9914	1.0000	0.0312	1.0000
   39	204.30	0.0000	0.9594	0.9912	1.0000	0.0320	1.0000
   40	200.40	0.0000	0.9583	0.9910	1.0000	0.0330	1.0000
   41	199.20	0.0000	0.9579	0.9909	1.0000	0.0333	1.0000
   42	189.70	0.0000	0.9564	0.9907	1.0000	0.0346	1.0000
   43	185.30	0.0000	0.9549	0.9903	1.0000	0.0358	1.0000
   44	181.70	0.0000	0.9531	0.9900	1.0000	0.0372	1.0000
   45	179.50	0.0000	0.9524	0.9899	1.0000	0.0378	1.0000
   46	177.10	0.0000	0.9497	0.9893	1.0000	0.0400	1.0000
   47	173.10	0.0000	0.9478	0.9889	1.0000	0.0416	1.0000
   48	170.40	0.0000	0.9489	0.9892	1.0000	0.0407	1.0000
   49	164.90	0.0000	0.9480	0.9890	1.0000	0.0414	1.0000
   50	160.10	0.0000	0.9464	0.9887	1.0000	0.0428	1.0000
   51	158.30	0.0000	0.9454	0.9885	1.0000	0.0436	1.0000
   52	155.90	0.0000	0.9454	0.9885	1.0000	0.0435	1.0000
   53	150.40	0.0000	0.9447	0.9883	1.0000	0.0441	1.0000
   54	148.80	0.0000	0.9443	0.9882	1.0000	0.0444	1.0000
   55	144.70	0.0000	0.9425	0.9878	1.0000	0.0459	1.0000
   56	143.10	0.0000	0.9400	0.9874	1.0000	0.0479	1.0000
   57	141.70	0.0000	0.9403	0.9874	1.0000	0.0478	1.0000
   58	140.60	0.0000	0.9403	0.9874	1.0000	0.0477	1.0000
   59	140.10	0.0000	0.9386	0.9871	1.0000	0.0491	1.0000
   60	138.50	0.0000	0.9360	0.9866	1.0000	0.0513	1.0000
   61	138.50	0.0000	0.9345	0.9863	1.0000	0.0525	1.0000
   62	135.60	0.0000	0.9322	0.9858	1.0000	0.0544	1.0000
   63	135.10	0.0000	0.9318	0.9857	1.0000	0.0547	1.0000
   64	134.30	0.0000	0.9332	0.9860	1.0000	0.0535	1.0000
   65	132.10	0.0000	0.9331	0.9860	1.0000	0.0537	1.0000
   66	131.80	0.0000	0.9310	0.9856	1.0000	0.0554	1.0000
   67	129.50	0.0000	0.9293	0.9852	1.0000	0.0568	1.0000
   68	127.90	0.0000	0.9273	0.9848	1.0000	0.0584	1.0000
   69	126.10	0.0000	0.9278	0.9849	1.0000	0.0580	1.0000
   70	123.70	0.0000	0.9293	0.9852	1.0000	0.0568	1.0000
   71	123.10	0.0000	0.9286	0.9851	1.0000	0.0574	1.0000
   72	121.20	0.0000	0.9287	0.9851	1.0000	0.0572	1.0000
   73	117.80	0.0000	0.9268	0.9848	1.0000	0.0589	1.0000
   74	116.40	0.0000	0.9236	0.9841	1.0000	0.0615	1.0000
   75	115.40	0.0000	0.9232	0.9840	1.0000	0.0618	1.0000
   76	115.50	0.0000	0.9228	0.9839	1.0000	0.0622	1.0000
   77	114.30	0.0000	0.9190	0.9832	1.0000	0.0652	1.0000
   78	113.90	0.0000	0.9171	0.9828	1.0000	0.0668	1.0000
   79	114.00	0.0000	0.9173	0.9828	1.0000	0.0667	1.0000
   80	112.10	0.0000	0.9174	0.9829	1.0000	0.0666	1.0000
   81	111.20	0.0000	0.9192	0.9833	1.0000	0.0652	1.0000
   82	111.20	0.0000	0.9169	0.9828	1.0000	0.0671	1.0000
   83	111.10	0.0000	0.9176	0.9829	1.0000	0.0664	1.0000
   84	110.30	0.0000	0.9160	0.9826	1.0000	0.0677	1.0000
   85	107.70	0.0000	0.9169	0.9828	1.0000	0.0670	1.0000
   86	106.70	0.0000	0.9157	0.9825	1.0000	0.0680	1.0000
   87	107.00	0.0000	0.9150	0.9824	1.0000	0.0686	1.0000
   88	104.50	0.0000	0.9173	0.9828	1.0000	0.0667	1.0000
   89	102.80	0.0000	0.9185	0.9831	1.0000	0.0657	1.0000
   90	103.00	0.0000	0.9200	0.9834	1.0000	0.0645	1.0000
   91	102.40	0.0000	0.9175	0.9829	1.0000	0.0666	1.0000
   92	98.50	0.0000	0.9195	0.9833	1.0000	0.0649	1.0000
   93	98.70	0.0000	0.9202	0.9834	1.0000	0.0643	1.0000
   94	98.70	0.0000	0.9191	0.9833	1.0000	0.0652	1.0000
   95	98.90	0.0000	0.9187	0.9831	1.0000	0.0655	1.0000
   96	99.10	0.0000	0.9164	0.9827	1.0000	0.0674	1.0000
   97	99.10	0.0000	0.9150	0.9824	1.0000	0.0686	1.0000
   98	97.60	0.0000	0.9133	0.9820	1.0000	0.0700	1.0000
   99	97.20	0.0000	0.9099	0.9814	1.0000	0.0729	1.0000
  100	96.50	0.0000	0.9091	0.9812	1.0000	0.0735	1.0000
  101	96.10	0.0000	0.9088	0.9811	1.0000	0.0737	1.0000
  102	93.50	0.0000	0.9063	0.9806	1.0000	0.0758	1.0000
  103	93.00	0.0000	0.9038	0.9801	1.0000	0.0779	1.0000
  104	92.80	0.0000	0.9061	0.9805	1.0000	0.0759	1.0000
  105	92.80	0.0000	0.9066	0.9807	1.0000	0.0755	1.0000
  106	91.00	0.0000	0.9050	0.9804	1.0000	0.0770	1.0000
  107	91.10	0.0000	0.9048	0.9804	1.0000	0.0771	1.0000
  108	90.70	0.0000	0.9012	0.9797	1.0000	0.0801	1.0000
  109	88.90	0.0000	0.8997	0.9793	1.0000	0.0813	1.0000
  110	88.80	0.0000	0.8981	0.9790	1.0000	0.0827	1.0000
  111	88.20	0.0000	0.8998	0.9794	1.0000	0.0813	1.0000
  112	87.20	0.0000	0.9010	0.9797	1.0000	0.0803	1.0000
  113	86.00	0.0000	0.8987	0.9792	1.0000	0.0823	1.0000
  114	85.00	0.0000	0.8991	0.9793	1.0000	0.0820	1.0000
  115	83.90	0.0000	0.8975	0.9790	1.0000	0.0832	1.0000
  116	83.30	0.0000	0.8952	0.9785	1.0000	0.0852	1.0000
  117	82.60	0.0000	0.8917	0.9778	1.0000	0.0881	1.0000
  118	79.90	0.0000	0.8911	0.9778	1.0000	0.0887	1.0000
  119	79.20	0.0000	0.8880	0.9772	1.0000	0.0912	1.0000
  120	79.50	0.0000	0.8858	0.9767	1.0000	0.0930	1.0000
  121	77.70	0.0000	0.8836	0.9763	1.0000	0.0949	1.0000
  122	75.60	0.0000	0.8831	0.9761	1.0000	0.0953	1.0000
  123	75.40	0.0000	0.8786	0.9752	1.0000	0.0991	1.0000
  124	74.20	0.0000	0.8778	0.9750	1.0000	0.0998	1.0000
  125	73.90	0.0000	0.8766	0.9748	1.0000	0.1008	1.0000
  126	73.20	0.0000	0.8751	0.9746	1.0000	0.1021	1.0000
