    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
    1	958.40	0.0000	0.9981	0.9988	1.0000	0.0007	1.0000
    2	904.10	0.0000	0.9973	0.9986	1.0000	0.0013	1.0000
    3	840.70	0.0000	0.9965	0.9984	1.0000	0.0019	1.0000
    4	783.80	0.0000	0.9957	0.9981	1.0000	0.0024	1.0000
    5	735.50	0.0000	0.9953	0.9980	1.0000	0.0027	1.0000
    6	689.60	0.0000	0.9947	0.9977	1.0000	0.0031	1.0000
    7	650.50	0.0000	0.9942	0.9976	1.0000	0.0033	1.0000
    8	610.10	0.0000	0.9938	0.9974	1.0000	0.0035	1.0000
    9	575.40	0.0000	0.9932	0.9971	1.0000	0.0039	1.0000
   10	540.80	0.0000	0.9928	0.9970	1.0000	0.0041	1.0000
   11	509.70	0.0000	0.9922	0.9968	1.0000	0.0046	1.0000
   12	487.10	0.0000	0.9919	0.9966	1.0000	0.0047	1.0000
   13	462.90	0.0000	0.9915	0.9963	1.0000	0.0049	1.0000
   14	443.90	0.0000	0.9914	0.9962	1.0000	0.0048	1.0000
   15	419.60	0.0000	0.9910	0.9960	1.0000	0.0050	1.0000
   16	404.70	0.0000	0.9907	0.9958	1.0000	0.0051	1.0000
   17	386.10	0.0000	0.9900	0.9955	1.0000	0.0055	1.0000
   18	368.30	0.0000	0.9903	0.9955	1.0000	0.0052	1.0000
   19	352.70	0.0000	0.9899	0.9952	1.0000	0.0053	1.0000
   20	342.40	0.0000	0.9899	0.9950	1.0000	0.0052	1.0000
   21	335.70	0.0000	0.9894	0.9950	1.0000	0.0056	1.0000
   22	328.70	0.0000	0.9894	0.9947	1.0000	0.0054	1.0000
   23	319.90	0.0000	0.9887	0.9944	1.0000	0.0058	1.0000
   24	311.20	0.0000	0.9887	0.9943	1.0000	0.0056	1.0000
   25	305.50	0.0000	0.9890	0.9942	1.0000	0.0052	1.0000
   26	293.90	0.0000	0.9887	0.9939	1.0000	0.0053	1.0000
   27	290.10	0.0000	0.9882	0.9937	1.0000	0.0055	1.0000
   28	284.90	0.0000	0.9879	0.9934	1.0000	0.0056	1.0000
   29	277.00	0.0000	0.9880	0.9935	1.0000	0.0056	1.0000
   30	266.90	0.0000	0.9876	0.9933	1.0000	0.0058	1.0000
   31	260.70	0.0000	0.9873	0.9930	1.0000	0.0057	1.0000
   32	255.20	0.0000	0.9871	0.9928	1.0000	0.0057	1.0000
   33	247.10	0.0000	0.9874	0.9927	1.0000	0.0053	1.0000
   34	244.00	0.0000	0.9872	0.9924	1.0000	0.0053	1.0000
   35	237.50	0.0000	0.9874	0.9924	1.0000	0.0050	1.0000
   36	229.30	0.0000	0.9867	0.9922	1.0000	0.0055	1.0000
   37	222.00	0.0000	0.9863	0.9919	1.0000	0.0057	1.0000
   38	213.60	0.0000	0.9859	0.9915	1.0000	0.0057	1.0000
   39	208.10	0.0000	0.9858	0.9913	1.0000	0.0055	1.0000
   40	205.60	0.0000	0.9851	0.9910	1.0000	0.0059	1.0000
   41	196.40	0.0000	0.9845	0.9906	1.0000	0.0062	1.0000
   42	194.50	0.0000	0.9845	0.9904	1.0000	0.0059	1.0000
   43	192.90	0.0000	0.9843	0.9901	1.0000	0.0058	1.0000
   44	189.20	0.0000	0.9841	0.9898	1.0000	0.0058	1.0000
   45	185.80	0.0000	0.9843	0.9897	1.0000	0.0054	1.0000
   46	182.90	0.0000	0.9844	0.9895	1.0000	0.0052	1.0000
   47	180.00	0.0000	0.9844	0.9894	1.0000	0.0050	1.0000
   48	178.20	0.0000	0.9843	0.9894	1.0000	0.0051	1.0000
   49	177.60	0.0000	0.9837	0.9892	1.0000	0.0056	1.0000
   50	175.40	0.0000	0.9832	0.9888	1.0000	0.0056	1.0000
   51	172.90	0.0000	0.9820	0.9882	1.0000	0.0063	1.0000
   52	165.20	0.0000	0.9818	0.9880	1.0000	0.0062	1.0000
   53	162.70	0.0000	0.9819	0.9879	1.0000	0.0061	1.0000
   54	161.20	0.0000	0.9812	0.9873	1.0000	0.0062	1.0000
   55	159.30	0.0000	0.9813	0.9876	1.0000	0.0064	1.0000
   56	158.80	0.0000	0.9814	0.9876	1.0000	0.0063	1.0000
   57	155.00	0.0000	0.9811	0.9875	1.0000	0.0065	1.0000
   58	150.60	0.0000	0.9813	0.9871	1.0000	0.0059	1.0000
   59	149.00	0.0000	0.9814	0.9871	1.0000	0.0058	1.0000
   60	147.50	0.0000	0.9814	0.9871	1.0000	0.0058	1.0000
   61	148.00	0.0000	0.9819	0.9871	1.0000	0.0053	1.0000
   62	144.40	0.0000	0.9818	0.9872	1.0000	0.0055	1.0000
   63	144.20	0.0000	0.9819	0.9872	1.0000	0.0053	1.0000
   64	143.70	0.0000	0.9812	0.9870	1.0000	0.0058	1.0000
   65	142.80	0.0000	0.9804	0.9862	1.0000	0.0059	1.0000
   66	139.90	0.0000	0.9795	0.9857	1.0000	0.0063	1.0000
   67	139.40	0.0000	0.9801	0.9858	1.0000	0.0057	1.0000
   68	138.30	0.0000	0.9805	0.9857	1.0000	0.0053	1.0000
   69	137.60	0.0000	0.9794	0.9848	1.0000	0.0055	1.0000
   70	135.10	0.0000	0.9796	0.9849	1.0000	0.0054	1.0000
   71	133.90	0.0000	0.9795	0.9846	1.0000	0.0053	1.0000
   72	132.80	0.0000	0.9792	0.9844	1.0000	0.0053	1.0000
   73	128.20	0.0000	0.9787	0.9840	1.0000	0.0054	1.0000
   74	126.30	0.0000	0.9781	0.9837	1.0000	0.0057	1.0000
   75	124.60	0.0000	0.9779	0.9833	1.0000	0.0056	1.0000
   76	124.00	0.0000	0.9778	0.9834	1.0000	0.0057	1.0000
   77	121.50	0.0000	0.9776	0.9833	1.0000	0.0058	1.0000
   78	120.60	0.0000	0.9779	0.9834	1.0000	0.0056	1.0000
   79	117.80	0.0000	0.9768	0.9828	1.0000	0.0061	1.0000
   80	117.40	0.0000	0.9766	0.9822	1.0000	0.0057	1.0000
   81	114.80	0.0000	0.9763	0.9815	1.0000	0.0054	1.0000
   82	113.90	0.0000	0.9757	0.9812	1.0000	0.0055	1.0000
   83	112.20	0.0000	0.9752	0.9805	1.0000	0.0054	1.0000
   84	109.40	0.0000	0.9748	0.9803	1.0000	0.0056	1.0000
   85	104.20	0.0000	0.9744	0.9796	1.0000	0.0053	1.0000
   86	102.70	0.0000	0.9743	0.9798	1.0000	0.0056	1.0000
   87	101.50	0.0000	0.9743	0.9797	1.0000	0.0055	1.0000
   88	99.50	0.0000	0.9727	0.9784	1.0000	0.0058	1.0000
   89	97.90	0.0000	0.9722	0.9783	1.0000	0.0062	1.0000
   90	96.20	0.0000	0.9733	0.9784	1.0000	0.0053	1.0000
   91	95.40	0.0000	0.9735	0.9787	1.0000	0.0053	1.0000
   92	95.20	0.0000	0.9741	0.9787	1.0000	0.0047	1.0000
   93	94.00	0.0000	0.9746	0.9787	1.0000	0.0043	1.0000
   94	94.00	0.0000	0.9743	0.9787	1.0000	0.0045	1.0000
   95	91.70	0.0000	0.9740	0.9785	1.0000	0.0046	1.0000
   96	91.10	0.0000	0.9737	0.9785	1.0000	0.0049	1.0000
   97	90.80	0.0000	0.9731	0.9778	1.0000	0.0048	1.0000
   98	89.40	0.0000	0.9730	0.9774	1.0000	0.0045	1.0000
   99	88.80	0.0000	0.9729	0.9773	1.0000	0.0045	1.0000
  100	86.40	0.0000	0.9732	0.9778	1.0000	0.0047	1.0000
  101	85.80	0.0000	0.9731	0.9776	1.0000	0.0046	1.0000
  102	85.60	0.0000	0.9725	0.9772	1.0000	0.0048	1.0000
  103	85.70	0.0000	0.9717	0.9770	1.0000	0.0054	1.0000
  104	84.50	0.0000	0.9715	0.9765	1.0000	0.0050	1.0000
  105	83.60	0.0000	0.9706	0.9758	1.0000	0.0053	1.0000
  106	83.40	0.0000	0.9702	0.9751	1.0000	0.0050	1.0000
  107	83.40	0.0000	0.9696	0.9745	1.0000	0.0050	1.0000
  108	83.30	0.0000	0.9688	0.9733	1.0000	0.0046	1.0000
  109	82.70	0.0000	0.9685	0.9732	1.0000	0.0048	1.0000
  110	80.60	0.0000	0.9680	0.9732	1.0000	0.0053	1.0000
  111	80.10	0.0000	0.9684	0.9734	1.0000	0.0051	1.0000
  112	78.00	0.0000	0.9677	0.9730	1.0000	0.0055	1.0000
  113	78.10	0.0000	0.9667	0.9727	1.0000	0.0061	1.0000
  114	77.30	0.0000	0.9669	0.9730	1.0000	0.0062	1.0000
  115	75.80	0.0000	0.9660	0.9726	1.0000	0.0068	1.0000
  116	74.00	0.0000	0.9648	0.9712	1.0000	0.0066	1.0000
  117	74.30	0.0000	0.9645	0.9711	1.0000	0.0068	1.0000
  118	74.00	0.0000	0.9643	0.9710	1.0000	0.0070	1.0000
  119	74.30	0.0000	0.9644	0.9710	1.0000	0.0068	1.0000
  120	74.20	0.0000	0.9643	0.9702	1.0000	0.0062	1.0000
  121	73.90	0.0000	0.9645	0.9701	1.0000	0.0058	1.0000
  122	74.00	0.0000	0.9642	0.9696	1.0000	0.0055	1.0000
  123	73.00	0.0000	0.9647	0.9699	1.0000	0.0054	1.0000
  124	72.00	0.0000	0.9649	0.9701	1.0000	0.0053	1.0000
  125	71.50	0.0000	0.9651	0.9702	1.0000	0.0053	1.0000
  126	71.00	0.0000	0.9648	0.9700	1.0000	0.0054	1.0000
  127	71.00	0.0000	0.9644	0.9701	1.0000	0.0059	1.0000
  128	70.10	0.0000	0.9640	0.9693	1.0000	0.0054	1.0000
  129	69.90	0.0000	0.9653	0.9705	1.0000	0.0053	1.0000
  130	70.00	0.0000	0.9653	0.9701	1.0000	0.0050	1.0000
  131	70.30	0.0000	0.9658	0.9706	1.0000	0.0049	1.0000
  132	69.60	0.0000	0.9659	0.9704	1.0000	0.0047	1.0000
  133	69.30	0.0000	0.9661	0.9705	1.0000	0.0046	1.0000
  134	67.20	0.0000	0.9659	0.9700	1.0000	0.0042	1.0000
  135	65.40	0.0000	0.9654	0.9694	1.0000	0.0041	1.0000
  136	64.50	0.0000	0.9642	0.9689	1.0000	0.0049	1.0000
  137	64.50	0.0000	0.9634	0.9685	1.0000	0.0053	1.0000
  138	63.40	0.0000	0.9629	0.9679	1.0000	0.0051	1.0000
  139	63.70	0.0000	0.9630	0.9675	1.0000	0.0047	1.0000
  140	64.00	0.0000	0.9632	0.9679	1.0000	0.0049	1.0000
  141	64.10	0.0000	0.9631	0.9673	1.0000	0.0044	1.0000
  142	63.70	0.0000	0.9641	0.9681	1.0000	0.0041	1.0000
  143	63.60	0.0000	0.9639	0.9682	1.0000	0.0045	1.0000
  144	62.70	0.0000	0.9643	0.9687	1.0000	0.0046	1.0000
  145	61.80	0.0000	0.9645	0.9689	1.0000	0.0046	1.0000
  146	62.40	0.0000	0.9644	0.9692	1.0000	0.0050	1.0000
  147	61.20	0.0000	0.9652	0.9701	1.0000	0.0051	1.0000
  148	59.60	0.0000	0.9641	0.9690	1.0000	0.0050	1.0000
  149	58.80	0.0000	0.9645	0.9694	1.0000	0.0051	1.0000
  150	59.30	0.0000	0.9646	0.9697	1.0000	0.0052	1.0000
  151	59.50	0.0000	0.9634	0.9688	1.0000	0.0056	1.0000
  152	58.60	0.0000	0.9622	0.9683	1.0000	0.0062	1.0000
  153	59.00	0.0000	0.9629	0.9689	1.0000	0.0063	1.0000
  154	59.20	0.0000	0.9627	0.9692	1.0000	0.0067	1.0000
  155	59.40	0.0000	0.9634	0.9691	1.0000	0.0059	1.0000
  156	59.40	0.0000	0.9630	0.9689	1.0000	0.0061	1.0000
  157	59.50	0.0000	0.9629	0.9693	1.0000	0.0065	1.0000
  158	58.30	0.0000	0.9625	0.9689	1.0000	0.0067	1.0000
  159	58.40	0.0000	0.9620	0.9686	1.0000	0.0069	1.0000
  160	58.40	0.0000	0.9610	0.9676	1.0000	0.0069	1.0000
  161	58.50	0.0000	0.9587	0.9661	1.0000	0.0076	1.0000
  162	58.40	0.0000	0.9586	0.9652	1.0000	0.0068	1.0000
  163	57.20	0.0000	0.9600	0.9662	1.0000	0.0064	1.0000
  164	56.80	0.0000	0.9600	0.9655	1.0000	0.0057	1.0000
  165	56.10	0.0000	0.9593	0.9650	1.0000	0.0059	1.0000
  166	54.90	0.0000	0.9590	0.9647	1.0000	0.0059	1.0000
  167	54.90	0.0000	0.9590	0.9643	1.0000	0.0056	1.0000
  168	54.50	0.0000	0.9581	0.9634	1.0000	0.0055	1.0000
  169	54.50	0.0000	0.9575	0.9629	1.0000	0.0056	1.0000
  170	52.60	0.0000	0.9566	0.9614	1.0000	0.0050	1.0000
  171	52.30	0.0000	0.9574	0.9616	1.0000	0.0044	1.0000
  172	52.60	0.0000	0.9556	0.9595	1.0000	0.0040	1.0000
  173	52.30	0.0000	0.9563	0.9601	1.0000	0.0040	1.0000
  174	52.70	0.0000	0.9547	0.9589	1.0000	0.0043	1.0000
