    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
    1	956.70	0.0000	0.9987	0.9988	1.0000	0.0001	1.0000
    2	894.60	0.0000	0.9985	0.9986	1.0000	0.0001	1.0000
    3	831.20	0.0000	0.9982	0.9983	1.0000	0.0002	1.0000
    4	774.50	0.0000	0.9980	0.9981	1.0000	0.0001	1.0000
    5	723.90	0.0000	0.9978	0.9979	1.0000	0.0001	1.0000
    6	676.40	0.0000	0.9977	0.9978	1.0000	0.0001	1.0000
    7	630.80	0.0000	0.9975	0.9976	1.0000	0.0001	1.0000
    8	593.10	0.0000	0.9973	0.9974	1.0000	0.0001	1.0000
    9	561.10	0.0000	0.9971	0.9972	1.0000	0.0002	1.0000
   10	533.50	0.0000	0.9969	0.9970	1.0000	0.0001	1.0000
   11	511.10	0.0000	0.9967	0.9968	1.0000	0.0001	1.0000
   12	486.60	0.0000	0.9965	0.9966	1.0000	0.0001	1.0000
   13	464.90	0.0000	0.9963	0.9963	1.0000	0.0001	1.0000
   14	442.30	0.0000	0.9960	0.9961	1.0000	0.0001	1.0000
   15	427.80	0.0000	0.9959	0.9960	1.0000	0.0001	1.0000
   16	409.70	0.0000	0.9956	0.9957	1.0000	0.0001	1.0000
   17	395.70	0.0000	0.9955	0.9956	1.0000	0.0001	1.0000
   18	379.60	0.0000	0.9952	0.9953	1.0000	0.0001	1.0000
   19	363.90	0.0000	0.9950	0.9951	1.0000	0.0002	1.0000
   20	350.80	0.0000	0.9947	0.9949	1.0000	0.0002	1.0000
   21	338.10	0.0000	0.9944	0.9947	1.0000	0.0002	1.0000
   22	328.60	0.0000	0.9943	0.9945	1.0000	0.0002	1.0000
   23	318.30	0.0000	0.9942	0.9943	1.0000	0.0001	1.0000
   24	309.80	0.0000	0.9940	0.9942	1.0000	0.0001	1.0000
   25	300.10	0.0000	0.9938	0.9939	1.0000	0.0001	1.0000
   26	293.40	0.0000	0.9936	0.9937	1.0000	0.0001	1.0000
   27	285.70	0.0000	0.9934	0.9936	1.0000	0.0002	1.0000
   28	276.50	0.0000	0.9931	0.9933	1.0000	0.0002	1.0000
   29	273.00	0.0000	0.9931	0.9933	1.0000	0.0003	1.0000
   30	266.50	0.0000	0.9928	0.9930	1.0000	0.0001	1.0000
   31	259.10	0.0000	0.9927	0.9927	1.0000	0.0001	1.0000
   32	250.00	0.0000	0.9922	0.9925	1.0000	0.0002	1.0000
   33	244.80	0.0000	0.9921	0.9922	1.0000	0.0001	1.0000
   34	237.70	0.0000	0.9917	0.9920	1.0000	0.0003	1.0000
   35	231.90	0.0000	0.9916	0.9917	1.0000	0.0001	1.0000
   36	224.70	0.0000	0.9915	0.9916	1.0000	0.0001	1.0000
   37	222.60	0.0000	0.9915	0.9916	1.0000	0.0001	1.0000
   38	215.50	0.0000	0.9913	0.9915	1.0000	0.0002	1.0000
   39	211.30	0.0000	0.9912	0.9914	1.0000	0.0002	1.0000
   40	207.40	0.0000	0.9909	0.9910	1.0000	0.0001	1.0000
   41	203.10	0.0000	0.9906	0.9907	1.0000	0.0001	1.0000
   42	196.90	0.0000	0.9905	0.9905	1.0000	0.0000	1.0000
   43	194.90	0.0000	0.9903	0.9903	1.0000	-0.0000	1.0000
   44	191.90	0.0000	0.9898	0.9898	1.0000	0.0001	1.0000
   45	186.70	0.0000	0.9896	0.9898	1.0000	0.0001	1.0000
   46	180.60	0.0000	0.9893	0.9894	1.0000	0.0001	1.0000
   47	177.00	0.0000	0.9890	0.9891	1.0000	0.0001	1.0000
   48	172.60	0.0000	0.9889	0.9890	1.0000	0.0001	1.0000
   49	170.70	0.0000	0.9890	0.9891	1.0000	0.0001	1.0000
   50	165.70	0.0000	0.9888	0.9889	1.0000	0.0001	1.0000
   51	164.40	0.0000	0.9884	0.9885	1.0000	0.0001	1.0000
   52	157.00	0.0000	0.9883	0.9884	1.0000	0.0001	1.0000
   53	155.90	0.0000	0.9884	0.9884	1.0000	0.0001	1.0000
   54	153.00	0.0000	0.9880	0.9881	1.0000	0.0001	1.0000
   55	151.40	0.0000	0.9878	0.9879	1.0000	0.0001	1.0000
   56	150.20	0.0000	0.9873	0.9875	1.0000	0.0002	1.0000
   57	147.20	0.0000	0.9870	0.9872	1.0000	0.0002	1.0000
   58	144.80	0.0000	0.9868	0.9869	1.0000	0.0001	1.0000
   59	142.00	0.0000	0.9866	0.9867	1.0000	0.0001	1.0000
   60	139.60	0.0000	0.9866	0.9867	1.0000	0.0001	1.0000
   61	136.90	0.0000	0.9862	0.9863	1.0000	0.0001	1.0000
   62	136.10	0.0000	0.9863	0.9864	1.0000	0.0001	1.0000
   63	134.30	0.0000	0.9859	0.9862	1.0000	0.0003	1.0000
   64	133.00	0.0000	0.9855	0.9856	1.0000	0.0002	1.0000
   65	132.00	0.0000	0.9856	0.9857	1.0000	0.0001	1.0000
   66	130.70	0.0000	0.9854	0.9855	1.0000	0.0000	1.0000
   67	130.10	0.0000	0.9850	0.9851	1.0000	0.0001	1.0000
   68	129.10	0.0000	0.9848	0.9849	1.0000	0.0001	1.0000
   69	127.30	0.0000	0.9845	0.9848	1.0000	0.0002	1.0000
   70	125.80	0.0000	0.9843	0.9845	1.0000	0.0002	1.0000
   71	123.10	0.0000	0.9848	0.9849	1.0000	0.0001	1.0000
   72	121.30	0.0000	0.9844	0.9846	1.0000	0.0002	1.0000
   73	120.30	0.0000	0.9842	0.9844	1.0000	0.0002	1.0000
   74	117.70	0.0000	0.9844	0.9845	1.0000	0.0001	1.0000
   75	114.90	0.0000	0.9845	0.9846	1.0000	0.0001	1.0000
   76	114.20	0.0000	0.9844	0.9845	1.0000	0.0002	1.0000
   77	112.90	0.0000	0.9841	0.9843	1.0000	0.0002	1.0000
   78	113.00	0.0000	0.9841	0.9843	1.0000	0.0001	1.0000
   79	113.30	0.0000	0.9840	0.9842	1.0000	0.0002	1.0000
   80	112.00	0.0000	0.9840	0.9842	1.0000	0.0002	1.0000
   81	111.10	0.0000	0.9838	0.9839	1.0000	0.0001	1.0000
   82	110.00	0.0000	0.9834	0.9836	1.0000	0.0002	1.0000
   83	109.20	0.0000	0.9834	0.9836	1.0000	0.0002	1.0000
   84	107.90	0.0000	0.9830	0.9831	1.0000	0.0001	1.0000
   85	106.80	0.0000	0.9824	0.9827	1.0000	0.0003	1.0000
   86	105.80	0.0000	0.9826	0.9828	1.0000	0.0002	1.0000
   87	104.00	0.0000	0.9824	0.9824	1.0000	0.0000	1.0000
   88	104.20	0.0000	0.9828	0.9829	1.0000	0.0001	1.0000
   89	102.20	0.0000	0.9831	0.9832	1.0000	0.0000	1.0000
   90	102.20	0.0000	0.9826	0.9827	1.0000	0.0002	1.0000
   91	101.40	0.0000	0.9822	0.9823	1.0000	0.0001	1.0000
   92	101.40	0.0000	0.9823	0.9824	1.0000	0.0001	1.0000
   93	102.00	0.0000	0.9818	0.9819	1.0000	0.0001	1.0000
   94	101.20	0.0000	0.9814	0.9816	1.0000	0.0002	1.0000
   95	101.20	0.0000	0.9812	0.9814	1.0000	0.0002	1.0000
   96	101.10	0.0000	0.9814	0.9815	1.0000	0.0001	1.0000
   97	101.00	0.0000	0.9804	0.9805	1.0000	0.0001	1.0000
   98	100.60	0.0000	0.9806	0.9808	1.0000	0.0001	1.0000
   99	100.20	0.0000	0.9801	0.9803	1.0000	0.0003	1.0000
  100	98.20	0.0000	0.9800	0.9804	1.0000	0.0004	1.0000
  101	97.20	0.0000	0.9797	0.9797	1.0000	0.0000	1.0000
  102	95.70	0.0000	0.9793	0.9795	1.0000	0.0002	1.0000
  103	95.20	0.0000	0.9787	0.9788	1.0000	0.0002	1.0000
  104	94.10	0.0000	0.9786	0.9787	1.0000	0.0001	1.0000
  105	93.50	0.0000	0.9788	0.9789	1.0000	0.0001	1.0000
  106	93.30	0.0000	0.9782	0.9785	1.0000	0.0002	1.0000
  107	88.20	0.0000	0.9787	0.9788	1.0000	0.0001	1.0000
  108	87.50	0.0000	0.9785	0.9787	1.0000	0.0002	1.0000
