    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
    1	953.40	0.0000	0.9987	0.9988	1.0000	0.0001	1.0000
    2	898.60	0.0000	0.9985	0.9986	1.0000	0.0001	1.0000
    3	841.30	0.0000	0.9983	0.9984	1.0000	0.0000	1.0000
    4	783.80	0.0000	0.9982	0.9982	1.0000	0.0000	1.0000
    5	723.70	0.0000	0.9979	0.9980	1.0000	0.0000	1.0000
    6	678.00	0.0000	0.9978	0.9978	1.0000	0.0000	1.0000
    7	644.10	0.0000	0.9976	0.9976	1.0000	-0.0000	1.0000
    8	603.10	0.0000	0.9974	0.9974	1.0000	0.0000	1.0000
    9	568.60	0.0000	0.9972	0.9973	1.0000	0.0001	1.0000
   10	543.50	0.0000	0.9970	0.9971	1.0000	0.0001	1.0000
   11	519.60	0.0000	0.9969	0.9969	1.0000	0.0000	1.0000
   12	492.40	0.0000	0.9967	0.9968	1.0000	0.0001	1.0000
   13	471.80	0.0000	0.9965	0.9966	1.0000	0.0001	1.0000
   14	457.80	0.0000	0.9963	0.9964	1.0000	0.0001	1.0000
   15	438.80	0.0000	0.9962	0.9963	1.0000	0.0001	1.0000
   16	424.10	0.0000	0.9961	0.9962	1.0000	0.0001	1.0000
   17	409.00	0.0000	0.9959	0.9960	1.0000	0.0000	1.0000
   18	387.60	0.0000	0.9957	0.9958	1.0000	0.0001	1.0000
   19	374.60	0.0000	0.9956	0.9956	1.0000	0.0001	1.0000
   20	359.00	0.0000	0.9953	0.9953	1.0000	0.0000	1.0000
   21	348.00	0.0000	0.9951	0.9951	1.0000	-0.0000	1.0000
   22	340.80	0.0000	0.9948	0.9949	1.0000	0.0001	1.0000
   23	329.90	0.0000	0.9945	0.9946	1.0000	0.0001	1.0000
   24	318.40	0.0000	0.9944	0.9945	1.0000	0.0001	1.0000
   25	306.40	0.0000	0.9940	0.9941	1.0000	0.0001	1.0000
   26	295.10	0.0000	0.9939	0.9940	1.0000	0.0001	1.0000
   27	287.80	0.0000	0.9935	0.9936	1.0000	0.0001	1.0000
   28	281.00	0.0000	0.9933	0.9932	1.0000	-0.0001	1.0000
   29	270.30	0.0000	0.9929	0.9930	1.0000	0.0001	1.0000
   30	265.90	0.0000	0.9929	0.9929	1.0000	0.0000	1.0000
   31	260.90	0.0000	0.9927	0.9928	1.0000	0.0000	1.0000
   32	253.00	0.0000	0.9925	0.9926	1.0000	0.0001	1.0000
   33	247.80	0.0000	0.9926	0.9926	1.0000	0.0000	1.0000
   34	242.40	0.0000	0.9922	0.9923	1.0000	0.0001	1.0000
   35	238.40	0.0000	0.9921	0.9921	1.0000	0.0001	1.0000
   36	233.70	0.0000	0.9919	0.9920	1.0000	0.0002	1.0000
   37	226.00	0.0000	0.9921	0.9921	1.0000	0.0000	1.0000
   38	223.00	0.0000	0.9919	0.9920	1.0000	0.0000	1.0000
   39	218.70	0.0000	0.9919	0.9920	1.0000	0.0001	1.0000
   40	216.20	0.0000	0.9916	0.9917	1.0000	0.0001	1.0000
   41	210.20	0.0000	0.9915	0.9916	1.0000	0.0001	1.0000
   42	208.20	0.0000	0.9915	0.9915	1.0000	0.0000	1.0000
   43	203.30	0.0000	0.9912	0.9912	1.0000	-0.0001	1.0000
   44	200.60	0.0000	0.9906	0.9907	1.0000	0.0001	1.0000
   45	192.60	0.0000	0.9900	0.9902	1.0000	0.0001	1.0000
   46	186.40	0.0000	0.9901	0.9902	1.0000	0.0001	1.0000
   47	180.50	0.0000	0.9898	0.9898	1.0000	0.0000	1.0000
   48	178.70	0.0000	0.9893	0.9893	1.0000	0.0000	1.0000
   49	177.90	0.0000	0.9890	0.9890	1.0000	0.0000	1.0000
   50	175.70	0.0000	0.9886	0.9887	1.0000	0.0001	1.0000
   51	173.50	0.0000	0.9883	0.9883	1.0000	-0.0000	1.0000
   52	170.40	0.0000	0.9882	0.9883	1.0000	0.0001	1.0000
   53	167.50	0.0000	0.9880	0.9880	1.0000	-0.0000	1.0000
   54	165.00	0.0000	0.9874	0.9874	1.0000	0.0001	1.0000
   55	163.10	0.0000	0.9877	0.9877	1.0000	-0.0000	1.0000
   56	159.60	0.0000	0.9875	0.9875	1.0000	0.0000	1.0000
   57	156.60	0.0000	0.9870	0.9872	1.0000	0.0002	1.0000
   58	155.10	0.0000	0.9869	0.9869	1.0000	0.0000	1.0000
   59	149.40	0.0000	0.9866	0.9866	1.0000	-0.0000	1.0000
   60	148.50	0.0000	0.9861	0.9861	1.0000	0.0000	1.0000
   61	146.00	0.0000	0.9859	0.9860	1.0000	0.0001	1.0000
   62	142.40	0.0000	0.9855	0.9855	1.0000	0.0000	1.0000
   63	140.60	0.0000	0.9858	0.9859	1.0000	0.0001	1.0000
   64	140.40	0.0000	0.9855	0.9855	1.0000	0.0000	1.0000
   65	137.30	0.0000	0.9851	0.9852	1.0000	0.0001	1.0000
   66	136.30	0.0000	0.9851	0.9851	1.0000	0.0001	1.0000
   67	135.30	0.0000	0.9849	0.9849	1.0000	-0.0000	1.0000
   68	134.40	0.0000	0.9842	0.9843	1.0000	0.0001	1.0000
   69	133.00	0.0000	0.9841	0.9842	1.0000	0.0001	1.0000
   70	132.10	0.0000	0.9841	0.9842	1.0000	0.0001	1.0000
   71	129.00	0.0000	0.9841	0.9842	1.0000	0.0001	1.0000
   72	126.20	0.0000	0.9838	0.9840	1.0000	0.0002	1.0000
   73	124.90	0.0000	0.9842	0.9842	1.0000	0.0000	1.0000
   74	124.90	0.0000	0.9841	0.9842	1.0000	0.0001	1.0000
   75	125.00	0.0000	0.9833	0.9834	1.0000	0.0001	1.0000
   76	123.20	0.0000	0.9828	0.9828	1.0000	-0.0000	1.0000
   77	119.50	0.0000	0.9828	0.9829	1.0000	0.0000	1.0000
   78	116.10	0.0000	0.9827	0.9828	1.0000	0.0001	1.0000
   79	115.10	0.0000	0.9824	0.9824	1.0000	-0.0000	1.0000
   80	114.80	0.0000	0.9819	0.9819	1.0000	-0.0000	1.0000
   81	113.90	0.0000	0.9817	0.9818	1.0000	0.0001	1.0000
   82	112.70	0.0000	0.9816	0.9817	1.0000	0.0001	1.0000
   83	111.50	0.0000	0.9819	0.9819	1.0000	0.0000	1.0000
   84	110.90	0.0000	0.9812	0.9812	1.0000	0.0000	1.0000
   85	111.20	0.0000	0.9812	0.9813	1.0000	0.0002	1.0000
   86	106.90	0.0000	0.9813	0.9814	1.0000	0.0001	1.0000
   87	106.90	0.0000	0.9807	0.9806	1.0000	-0.0001	1.0000
   88	105.90	0.0000	0.9798	0.9800	1.0000	0.0002	1.0000
   89	105.40	0.0000	0.9794	0.9796	1.0000	0.0002	1.0000
   90	104.40	0.0000	0.9793	0.9794	1.0000	0.0001	1.0000
