    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
    1	224.10	0.0000	0.0982	0.0982	1.0000	-0.0001	1.0000
    2	335.70	0.0000	0.1871	0.1872	1.0000	0.0002	1.0000
    3	405.90	0.0000	0.2675	0.2676	1.0000	0.0006	1.0000
    4	455.40	0.0000	0.3426	0.3429	1.0000	0.0008	1.0000
    5	490.90	0.0000	0.4083	0.4087	1.0000	0.0010	1.0000
    6	525.80	0.0000	0.4672	0.4678	1.0000	0.0013	1.0000
    7	543.10	0.0000	0.5161	0.5168	1.0000	0.0015	1.0000
    8	564.90	0.0000	0.5635	0.5645	1.0000	0.0017	1.0000
    9	584.00	0.0000	0.6060	0.6071	1.0000	0.0018	1.0000
   10	589.70	0.0000	0.6448	0.6460	1.0000	0.0019	1.0000
   11	605.10	0.0000	0.6794	0.6809	1.0000	0.0022	1.0000
   12	610.30	0.0000	0.7083	0.7102	1.0000	0.0026	1.0000
   13	613.00	0.0000	0.7385	0.7404	1.0000	0.0026	1.0000
   14	630.00	0.0000	0.7647	0.7665	1.0000	0.0024	1.0000
   15	631.50	0.0000	0.7860	0.7878	1.0000	0.0023	1.0000
   16	640.20	0.0000	0.8081	0.8102	1.0000	0.0025	1.0000
   17	643.20	0.0000	0.8245	0.8266	1.0000	0.0025	1.0000
   18	653.40	0.0000	0.8430	0.8451	1.0000	0.0025	1.0000
   19	657.40	0.0000	0.8598	0.8621	1.0000	0.0027	1.0000
   20	663.90	0.0000	0.8727	0.8749	1.0000	0.0024	1.0000
   21	665.90	0.0000	0.8872	0.8893	1.0000	0.0024	1.0000
   22	672.50	0.0000	0.8972	0.8994	1.0000	0.0024	1.0000
   23	668.30	0.0000	0.9045	0.9070	1.0000	0.0028	1.0000
   24	676.00	0.0000	0.9122	0.9148	1.0000	0.0029	1.0000
   25	676.50	0.0000	0.9181	0.9208	1.0000	0.0030	1.0000
   26	681.70	0.0000	0.9237	0.9263	1.0000	0.0028	1.0000
   27	689.40	0.0000	0.9323	0.9349	1.0000	0.0028	1.0000
   28	686.30	0.0000	0.9380	0.9405	1.0000	0.0027	1.0000
   29	683.80	0.0000	0.9441	0.9466	1.0000	0.0026	1.0000
   30	685.10	0.0000	0.9496	0.9523	1.0000	0.0028	1.0000
   31	687.90	0.0000	0.9538	0.9566	1.0000	0.0029	1.0000
   32	692.00	0.0000	0.9580	0.9610	1.0000	0.0032	1.0000
   33	700.60	0.0000	0.9624	0.9655	1.0000	0.0032	1.0000
   34	693.30	0.0000	0.9647	0.9678	1.0000	0.0032	1.0000
   35	703.10	0.0000	0.9676	0.9708	1.0000	0.0033	1.0000
   36	704.20	0.0000	0.9689	0.9721	1.0000	0.0033	1.0000
   37	703.70	0.0000	0.9721	0.9753	1.0000	0.0033	1.0000
   38	702.30	0.0000	0.9745	0.9776	1.0000	0.0032	1.0000
   39	701.10	0.0000	0.9765	0.9795	1.0000	0.0030	1.0000
   40	703.80	0.0000	0.9785	0.9815	1.0000	0.0030	1.0000
   41	704.20	0.0000	0.9788	0.9818	1.0000	0.0031	1.0000
   42	702.70	0.0000	0.9800	0.9830	1.0000	0.0031	1.0000
   43	708.80	0.0000	0.9815	0.9844	1.0000	0.0029	1.0000
   44	706.60	0.0000	0.9824	0.9852	1.0000	0.0029	1.0000
   45	703.90	0.0000	0.9835	0.9864	1.0000	0.0030	1.0000
   46	710.80	0.0000	0.9847	0.9877	1.0000	0.0030	1.0000
   47	714.00	0.0000	0.9857	0.9888	1.0000	0.0032	1.0000
   48	716.70	0.0000	0.9865	0.9896	1.0000	0.0031	1.0000
   49	712.60	0.0000	0.9871	0.9902	1.0000	0.0031	1.0000
   50	720.60	0.0000	0.9875	0.9907	1.0000	0.0032	1.0000
   51	714.60	0.0000	0.9883	0.9916	1.0000	0.0033	1.0000
   52	716.60	0.0000	0.9891	0.9922	1.0000	0.0031	1.0000
   53	714.10	0.0000	0.9897	0.9928	1.0000	0.0031	1.0000
   54	719.70	0.0000	0.9900	0.9931	1.0000	0.0032	1.0000
   55	717.40	0.0000	0.9905	0.9937	1.0000	0.0032	1.0000
   56	715.60	0.0000	0.9910	0.9941	1.0000	0.0032	1.0000
   57	720.00	0.0000	0.9915	0.9946	1.0000	0.0031	1.0000
   58	715.10	0.0000	0.9917	0.9947	1.0000	0.0030	1.0000
   59	722.00	0.0000	0.9919	0.9949	1.0000	0.0031	1.0000
   60	717.10	0.0000	0.9921	0.9952	1.0000	0.0031	1.0000
   61	716.60	0.0000	0.9923	0.9955	1.0000	0.0032	1.0000
   62	716.20	0.0000	0.9926	0.9956	1.0000	0.0031	1.0000
   63	716.70	0.0000	0.9927	0.9958	1.0000	0.0031	1.0000
   64	719.80	0.0000	0.9927	0.9958	1.0000	0.0031	1.0000
   65	717.90	0.0000	0.9928	0.9959	1.0000	0.0031	1.0000
   66	720.10	0.0000	0.9930	0.9960	1.0000	0.0031	1.0000
   67	721.00	0.0000	0.9930	0.9961	1.0000	0.0031	1.0000
   68	724.50	0.0000	0.9931	0.9962	1.0000	0.0032	1.0000
   69	721.30	0.0000	0.9931	0.9963	1.0000	0.0032	1.0000
   70	716.50	0.0000	0.9932	0.9964	1.0000	0.0032	1.0000
   71	719.70	0.0000	0.9933	0.9964	1.0000	0.0032	1.0000
   72	725.60	0.0000	0.9935	0.9966	1.0000	0.0031	1.0000
   73	728.40	0.0000	0.9936	0.9967	1.0000	0.0031	1.0000
   74	724.40	0.0000	0.9936	0.9968	1.0000	0.0031	1.0000
   75	723.70	0.0000	0.9937	0.9968	1.0000	0.0031	1.0000
   76	719.70	0.0000	0.9937	0.9968	1.0000	0.0031	1.0000
   77	722.60	0.0000	0.9938	0.9968	1.0000	0.0030	1.0000
   78	724.70	0.0000	0.9938	0.9968	1.0000	0.0030	1.0000
   79	723.20	0.0000	0.9940	0.9969	1.0000	0.0029	1.0000
   80	722.40	0.0000	0.9940	0.9970	1.0000	0.0030	1.0000
   81	719.10	0.0000	0.9941	0.9970	1.0000	0.0029	1.0000
   82	728.50	0.0000	0.9941	0.9970	1.0000	0.0029	1.0000
   83	729.20	0.0000	0.9940	0.9970	1.0000	0.0030	1.0000
   84	726.90	0.0000	0.9939	0.9970	1.0000	0.0031	1.0000
   85	729.80	0.0000	0.9940	0.9970	1.0000	0.0031	1.0000
   86	724.30	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
   87	725.90	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
   88	729.40	0.0000	0.9942	0.9971	1.0000	0.0030	1.0000
   89	724.70	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
   90	718.50	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
   91	729.00	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
   92	729.00	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
   93	732.00	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
   94	727.80	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
   95	733.20	0.0000	0.9940	0.9972	1.0000	0.0032	1.0000
   96	723.80	0.0000	0.9940	0.9972	1.0000	0.0032	1.0000
   97	727.90	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
   98	725.20	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
   99	728.60	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  100	721.50	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  101	724.10	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  102	719.50	0.0000	0.9941	0.9972	1.0000	0.0030	1.0000
  103	724.60	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  104	721.20	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  105	726.50	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  106	722.70	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  107	723.60	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  108	717.90	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  109	726.00	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  110	725.40	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  111	727.90	0.0000	0.9942	0.9971	1.0000	0.0030	1.0000
  112	721.10	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  113	721.50	0.0000	0.9941	0.9972	1.0000	0.0030	1.0000
  114	719.70	0.0000	0.9941	0.9972	1.0000	0.0030	1.0000
  115	726.50	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  116	728.40	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  117	725.40	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  118	720.30	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  119	719.70	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  120	720.60	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  121	719.30	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  122	719.60	0.0000	0.9942	0.9971	1.0000	0.0030	1.0000
  123	719.50	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  124	725.20	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  125	720.10	0.0000	0.9941	0.9971	1.0000	0.0030	1.0000
  126	719.00	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  127	716.60	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  128	722.10	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  129	720.60	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  130	717.10	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  131	713.00	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  132	714.70	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  133	718.20	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  134	721.10	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  135	717.30	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  136	720.50	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
  137	717.00	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  138	731.50	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  139	724.30	0.0000	0.9940	0.9972	1.0000	0.0031	1.0000
  140	728.10	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  141	726.60	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
  142	730.00	0.0000	0.9942	0.9972	1.0000	0.0030	1.0000
  143	722.50	0.0000	0.9941	0.9972	1.0000	0.0030	1.0000
  144	727.50	0.0000	0.9941	0.9972	1.0000	0.0031	1.0000
  145	727.00	0.0000	0.9940	0.9971	1.0000	0.0032	1.0000
  146	724.10	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  147	727.30	0.0000	0.9941	0.9971	1.0000	0.0031	1.0000
  148	727.10	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  149	727.10	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  150	723.80	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  151	724.00	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  152	718.30	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  153	719.80	0.0000	0.9940	0.9971	1.0000	0.0031	1.0000
  154	718.60	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
  155	720.50	0.0000	0.9939	0.9971	1.0000	0.0032	1.0000
